model-1618151971,1618151971.538,0.4,0.2495,0.42,0.2628,0
model-1618151971,1618151971.77,0.8,0.2439,0.42,0.2523,0
model-1618151971,1618151971.999,0.6,0.2462,0.42,0.2533,0
model-1618151971,1618151972.239,0.4,0.2514,0.58,0.2496,0
model-1618151971,1618151972.488,0.8,0.246,0.58,0.2489,0
model-1618151971,1618151972.736,0.6,0.2495,0.42,0.2506,0
model-1618151971,1618151972.988,0.4,0.2541,0.42,0.2537,0
model-1618151971,1618151973.242,0.2,0.2684,0.42,0.2556,0
model-1618151971,1618151973.483,0.6,0.2462,0.42,0.254,0
model-1618151971,1618151973.686,0.4,0.2614,0.42,0.2589,0
model-1618151971,1618151973.881,0.4,0.2547,0.42,0.2538,0
model-1618151971,1618151974.091,0.4,0.2517,0.42,0.251,0
model-1618151971,1618151974.318,0.6,0.2438,0.42,0.2713,0
model-1618151971,1618151974.524,0.6,0.2466,0.42,0.2539,0
model-1618151971,1618151974.728,0.0,0.2659,0.42,0.252,0
model-1618151971,1618151974.959,0.6,0.2495,0.42,0.2504,0
model-1618151971,1618151975.179,0.2,0.2522,0.58,0.2492,0
model-1618151971,1618151975.384,0.6,0.2487,0.58,0.2485,0
model-1618151971,1618151975.602,0.8,0.2404,0.58,0.2472,0
model-1618151971,1618151975.783,0.0,0.2715,0.58,0.247,0
model-1618151971,1618151975.986,0.4,0.2538,0.58,0.2476,0
model-1618151971,1618151976.192,0.2,0.2569,0.58,0.2484,0
model-1618151971,1618151976.434,0.6,0.2482,0.58,0.2485,0
model-1618151971,1618151976.666,1.0,0.2422,0.58,0.2486,0
model-1618151971,1618151976.909,0.2,0.2576,0.58,0.2476,0
model-1618151971,1618151977.125,0.4,0.2509,0.58,0.2474,0
model-1618151971,1618151977.361,0.2,0.2564,0.42,0.2519,0
model-1618151971,1618151977.588,0.6,0.2466,0.42,0.2535,0
model-1618151971,1618151977.826,0.8,0.2363,0.42,0.2545,0
model-1618151971,1618151978.036,0.0,0.2879,0.42,0.2559,0
model-1618151971,1618151978.261,0.4,0.2562,0.42,0.2545,0
model-1618151971,1618151978.494,0.6,0.2468,0.42,0.2529,0
model-1618151971,1618151978.694,0.4,0.2529,0.42,0.2524,0
model-1618151971,1618151978.879,0.4,0.2528,0.42,0.2523,0
model-1618151971,1618151979.091,0.2,0.2555,0.42,0.2514,0
model-1618151971,1618151979.284,0.6,0.2495,0.42,0.2503,0
model-1618151971,1618151979.493,0.2,0.2531,0.58,0.2492,0
model-1618151971,1618151979.681,0.4,0.2525,0.58,0.2482,0
model-1618151971,1618151979.875,0.4,0.2534,0.58,0.2477,0
model-1618151971,1618151980.085,0.4,0.2529,0.58,0.248,0
model-1618151971,1618151980.287,0.6,0.2471,0.58,0.2477,0
model-1618151971,1618151980.522,0.4,0.253,0.58,0.2481,0
model-1618151971,1618151980.735,0.6,0.2488,0.58,0.2491,0
model-1618151971,1618151980.928,1.0,0.247,0.58,0.2495,0
